,N1,N2,N3,N4
document-sentence-token-level/max_size_aux_verbs,1.700000000000001,2.0,2.0,2.0
document-sentence-token-level/max_size_passive,0.0,0.0,1.0,2.0
document-sentence-token-level/max_size_named_entities,3.0,4.0,4.0,3.0
document-sentence-token-level/max_size_np_pp_modifiers,8.700000000000001,7.0,9.0,9.0
document-sentence-token-level/max_size_subordination,9.400000000000002,16.0,25.0,30.300000000000004
document-sentence-token-level/max_size_coordination,2.0,2.0,2.0,2.0
document-document-token-level/total_token_ratio_aux_verbs,0.03252528775723753,0.0377851697035707,0.03627887521588946,0.03234511728721261
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0064361221444633595,0.006516110471806677
document-document-token-level/total_token_ratio_named_entities,0.17300098178248072,0.10152027027027027,0.08985975922131148,0.061860135637309584
document-document-token-level/total_token_ratio_subordination,0.19053402239448758,0.3191489361702128,0.4179879607679078,0.48170244107744103
document-document-token-level/ratio_clitic_per_token,0.0851537978656623,0.07347321094042714,0.06051437946342405,0.05955734406438635
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0026250172675783947,0.002785515320334262
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.0786723163841808,0.0704833270887973,0.05575694212111074,0.056086791016368515
document-document-token-level/ratio_named_entities_per_token,0.07544452928984402,0.059625600809511764,0.05243283067373109,0.04478769367116654
document-document-token-level/ratio_aux_verbs_per_token,0.016262643878618765,0.01857655706877885,0.01813943760794473,0.015288923290787312
document-document-token-level/ratio_subordination_per_token,0.03458809617658652,0.059660616792090906,0.06440004887585533,0.07336463223787168
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.003059519764412731,0.0032580552359033387
document-document-token-level/sophisticated_ratio,0.5510998918139199,0.4804338622205198,0.4810025698834881,0.45948204471881354
document-document-token-level/concrete_ratio,0.45467529994286804,0.5117814113597247,0.4941494990016838,0.4864159419797541
document-document-token-level/hapax_legomena_lemma_ratio,0.5326283322317692,0.34093237704918034,0.34,0.33204710144927546
document-document-token-level/ratio_aux_verbs_per_verb,0.1775000000000001,0.17888386123680244,0.19365357643758768,0.1679166666666667
document-document-token-level/ratio_subordination_per_verb,0.606521739130435,0.5706563706563706,0.6401428571428572,0.6510714285714286
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.030303030303030304,0.03466748768472907
document-document-token-level/ratio_coordination_per_token,0.03513727039304761,0.0396532960199005,0.03730848861283645,0.03635887953418837
document-document-token-level/total_token_ratio_coordination,0.04382297551789077,0.05059483639588918,0.04975130890052356,0.04744582853553858
sentence-sentence-sentence-level/parse_depth,4.0,5.0,5.0,6.0
sentence-sentence-sentence-level/words_after_verb,2.0,3.0,3.0,3.0
sentence-sentence-sentence-level/words_before_verb,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/sentence_length,11.0,15.0,19.0,22.0
document-document-document-level/word_count,90.9,214.0,260.05,309.15
document-document-document-level/sentence_count,5.700000000000001,18.0,17.0,16.150000000000002
document-document-document-level/lexical_diversity,0.9551715067340067,0.9879652275399257,0.9923757610952734,0.9938567315087966
token-token-token-level-high/word_length,4.0,4.0,5.0,5.0
token-token-token-level-high/word_syllables,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors,14.0,12.0,12.0,11.0
token-token-token-level-high/ortho_neighbors_+freq_cum,19149.1,16911.40000000001,16911.40000000001,16911.40000000001
token-token-token-level-high/age_of_acquisition,4.81646273637375,5.03448275862069,5.03448275862069,4.853170189099
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.01000022888184,6.0,6.14,6.07142857142857
token-token-token-level-low/lexical_frequency,12.64,7.91,9.39,12.36
